Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
Hewan berwujud manusia,1,0,1,0,0,0,1,0,0,1,0,0
"Definisi keluarga itu ""LAKI LAKI DAN WANITA MENIKAH"", bahkan hewanpun tau bagaimana berkembang biak",1,0,1,0,0,0,0,1,0,1,0,0
Ni mungkin dulu amuba yg reingkarnasi jadi manusia kale ..ya jadi ga kepikiran berkembang biak ...,1,0,1,0,0,0,0,1,0,1,0,0
Kak review bijinya dong atau lato2nya,1,0,1,0,0,0,1,1,0,1,0,0
Harus di panggang nch.. Siluman,1,1,0,0,0,0,0,0,1,1,0,0
Setidaknya binatang masih bisa paham dengan jati diri nya. Dan nggak ada binatang yang mau merubah jati dirinya atau menyukai sesama jenis,1,0,1,0,0,0,0,1,0,1,0,0
"Supir ubernya be like
""Apes hari ini dapat demit cuks"" 🤣🤣🤣 
Kaum kaum gak bisa beranak, tapi tambah banyak
Asu lah",1,1,1,0,0,0,0,0,0,1,0,0
Mahluk astral berdagu panjang,1,0,1,0,0,0,1,0,0,1,0,0
Mas ... Mau nanya .... Itu burung masih ada kah ...???kalo gak di pake mending di lepas aja .... Kan kasian .,1,0,1,0,0,0,1,0,0,1,0,0
Ane penasaran jeruk sama jeruk tu cara nyodoknya gimana.. Apa saling adu banteng,1,0,1,0,0,0,1,0,0,1,0,0
Pasti tuh Dada nya di ganjel rumput tuh biar ke liatan ada gunung nya,1,0,1,0,0,0,1,0,0,1,0,0
Buset giginya mirip gigi ikan hiu,1,1,1,0,0,0,1,0,0,1,0,0
Kebanyakan kalo transgender cantik ini mah kaya pancu,1,1,1,0,0,0,1,1,0,1,0,0
Kwkwk mungkin pas jadi cwo dlu nya gak laku wkwk tapi sekarang juga jdi cwe gak jelas bentuk nya wkwkwkkwk,1,0,1,0,0,0,0,1,0,1,0,0
TT nya diisi pake apa om,1,1,1,0,0,0,1,0,0,1,0,0
kintil nya udah ilang apa dilempit bang pas pake bikini wkwk,1,1,1,0,0,0,1,0,0,1,0,0
Hewan saja tahu bagai mana cara untuk berkembang biak,1,0,1,0,0,0,0,0,1,1,0,0
Mukanya hancur jln ninjanya biar laku ya kyak gini,1,0,1,0,0,0,1,0,0,1,0,0
Muka nya kotak...bgusan lucinta,1,1,1,0,0,0,1,0,0,1,0,0
Beli sekin baru lah biar gak keliatan kaya kuli jawa...,1,0,1,0,0,0,1,0,0,1,0,0
Klo di mobil formula 1 muka dia itu Full aerodinamis penuh lekukan,1,0,1,0,0,0,1,0,0,1,0,0
malu2 purworejo aja nihhh si dagu panjang,1,0,1,0,0,0,1,0,0,1,0,0
Muka nya ama bibir hahaha ter depan,1,0,1,0,0,0,1,0,0,1,0,0
Inna lillahi... Semoga sadar.... Mukanya sama pembantu gue aja masih cantikan pembantu gue,1,0,1,0,0,0,0,1,0,1,0,0
Wanita Jadi jadian anjir,1,1,1,0,0,0,0,1,0,1,0,0
"jujur , setakut takutnya gua liat hantu, liat video ini, ternyata ini yg lebih horror",1,0,1,0,0,0,1,0,0,1,0,0
Mukanya kaya kuntilanak lebar serem,1,0,1,0,0,0,1,0,0,1,0,0
Cantik banget kayak kura kura ninja,1,0,1,0,0,0,1,0,0,1,0,0
Mau dandan kek gimanapun juga lu tetep aja serem bang,1,0,1,0,0,0,1,0,0,1,0,0
Dagunye panjang bener kaya monas,1,0,1,0,0,0,1,0,0,1,0,0
wajahnya makin mirip genderuwo,1,0,1,0,0,0,1,0,0,1,0,0
Muka nya kaya kuntilanak astaghfirullah,1,0,1,0,0,0,1,0,0,1,0,0
"Buluk + merinding gua liatnya melebihi kunti , ocong , genderuwo",1,0,1,0,0,0,1,0,0,1,0,0
Kayak ikan buntal,1,0,1,0,0,0,1,0,0,1,0,0
Bukan makin cantik tpi makin serem,1,0,1,0,0,0,1,0,0,1,0,0
Muka lu kek kartun bg,1,0,1,0,0,0,1,0,0,1,0,0
Mukanya kaya kuli bangunan Wkwkwkwkkw,1,0,1,0,0,0,1,0,0,1,0,0
"Cantik kaga ,serem iya",1,0,1,0,0,0,1,0,0,1,0,0
Kenapa ga' jadi petinju ajasih.... soalnya rahangnya kuat dan tahan pukulan.....  RAHANG BETON.......,1,0,1,0,0,0,1,0,0,1,0,0
Napa ihh hidueng merah kek badut. bisul kah. Nah itu mah peringatan,1,0,1,0,0,0,1,0,0,1,0,0
Itu hidung kenapa hbs kejedot ya.,1,0,1,0,0,0,1,0,0,1,0,0
mahkota pala Ragil gay lu,1,1,1,0,0,0,0,1,0,1,0,0
Mukanya mirip penjual gorengan samping rumah,1,0,1,0,0,0,1,0,0,1,0,0
Homoan lu kemana bang,1,0,1,0,0,0,0,1,0,1,0,0
Be be be n cccccoooong,1,0,1,0,0,0,0,1,0,1,0,0
Udah jelek ngegay pula jyjyk,1,1,1,0,0,0,1,1,0,1,0,0
Sadar woi lu laki goblok,1,1,1,0,0,0,0,0,0,1,0,0
Maap kalo anda ingin jadi cewe sumpah wajahnyq jorok amat,1,0,1,0,0,0,1,0,0,1,0,0
AMIT2 MUKANYA DAN HIDUPNYA SERBA JELEK !,1,0,1,0,0,0,1,0,0,1,0,0
"Jijik gw liat nih punya mukak ,ga usah lah lu pulang lagi ke Indonesia dan gak usah lu pakai bahasa Indonesia.Tuhan menciptakan Adam bersama hawa ,bukan Bambang dan asep",1,1,1,0,0,0,0,0,0,1,0,0
Jati diri apaan . Jati diri gak senonoh . Mahoooo,1,0,1,0,0,0,0,1,0,1,0,0
Ih anak gay,1,0,1,0,0,0,0,1,0,1,0,0
Otaknya sekecil atom,1,0,1,0,0,0,0,0,1,1,0,0
Bin*tang aja kagak ada yg nge gay...lah situ sbg manusia kok lebih rendah dari bin*tang,1,1,1,0,0,0,0,1,0,1,0,0
Bulenya oon yg kek gini di embatt,1,1,1,0,0,0,0,0,0,1,0,0
KALO LU NGEGAY GAUSA DI KONTEN ASU EDUKASI KEBODOHAN NI TOLOL,1,1,1,0,0,0,0,1,0,1,0,0
Si peA ngajarin orang gay bang*att,1,1,1,0,0,0,0,0,0,1,0,0
@Windy in Paris  LU BIKIN KONTEN ASU KLO GAMAU DI URUSIN YAUDA JAN DIPUBLIKASI TOLOL,1,1,1,0,0,0,0,0,0,1,0,0
@Windy in Paris  lu udh menyimpang goblok...menyalahin kodrat Tuhan ehhh di kasih tau malah ngegas duhhh tobat woiii lu yg maksiat yg nanggung musibah org banyak,1,1,1,0,0,0,0,0,0,1,0,0
Rrrrrr udahh cadell gayy pulaa,1,1,1,0,0,0,1,1,0,1,0,0
Nasiib. ....wajah rata kaya krupuk gitu sampai beli beli cintta..kasian....sekali akuuh..,1,0,1,0,0,0,1,0,0,1,0,0
"Muka serem , rambut cepak kirain brimob atau kopasus",1,0,1,0,0,0,1,0,0,1,0,0
"Lo lo pada benci gay, tapi lesbian porn lu tonton. Kalo gay melakukan pelecehan seksual lo salahin orientasi seksualnya, kalo cowok straight melakukan pelecehan seksual lo salahin ceweknya karena 'pakai pakaian seksi' HYPOCRITE TO THE MAX",1,0,0,1,0,0,0,1,0,0,1,0
@Heal  lu gay,1,1,1,0,0,0,0,1,0,1,0,0
Goblok lu anak gay,1,1,1,0,0,0,0,1,0,1,0,0
Ko aku jijik ya,1,1,1,0,0,0,0,0,0,1,0,0
Anjg gblk bgt cok nge gay,1,1,1,0,0,0,0,1,0,1,0,0
MENDING GUE AMA NENEK² DARI PADA GAY KAYAK LU BDOH,1,1,1,0,0,0,0,1,0,1,0,0
Kaum sodom laknat,1,1,0,1,0,0,0,1,0,0,1,0
Ya memang hina dari binatang karna binatang gak pernah dilaknat tp gay dilaknat tuhan bukanya gw sok suci ya gusy karan manusia gak ada yang suci tp amit amit lah lebih baik jomblo seumur hidup dari pd gay k*nt*l makan k*nt*l iye lu manusia tp manusia laknat,1,1,1,0,0,0,0,1,0,1,0,0
Wtf tiba tiba muncul di beranda gw bngsd,1,1,1,0,0,0,0,0,0,1,0,0
rahang loe kekar bro,1,0,1,0,0,0,1,0,0,1,0,0
Muka kok kaya alien,1,0,1,0,0,0,1,0,0,1,0,0
Bodoh sialan kw laknat....baik kw prgi mampus..anjing lu..kw dapat anak lh...klau kw jadi gay....,1,1,1,0,0,0,0,0,0,1,0,0
Ngentot babi anjenk,1,1,1,0,0,0,0,0,0,1,0,0
Udah jelek . itu hidung direparasi dulu bedebah.  Kasian kayak idung sapi  Muka buluk PD over ..,1,0,1,0,0,0,1,0,0,1,0,0
"pasti lu pilih jokowi, soalnya jokowi melegalkan lgbt",1,0,1,0,0,0,0,0,1,1,0,0
Jijik bgt pengen muntah...,1,0,1,0,0,0,0,0,0,1,0,0
Masya allah astaghfirullah mau muntah sumpah najisssss,1,1,1,0,0,0,0,0,0,1,0,0
Makin gak jelas asw,1,1,1,0,0,0,0,0,0,1,0,0
Jijik.bgusaN CNTA LUNA DRI LO.,1,1,1,0,0,0,0,0,0,1,0,0
"Hae pesex... ,Mak....km hidungnya minimalis kl dibanding mas pascal",1,0,1,0,0,0,1,0,0,1,0,0
HEWAN SAJA BISA MEMBEDAKAN,1,0,1,0,0,0,0,0,1,1,0,0
Operasi rahang dong..biar gk mirip dinosaurus. Kegedean itu rahang serem ...,1,0,1,0,0,0,1,0,0,1,0,0
cantik belum tentu mahal,1,0,1,0,0,0,0,1,0,1,0,0
"Anjirrr ,,,,cwe cantik ga da harganya ,,,,julukin aja Miyabi Indonesia ,,,byar dia tambah bangga ,,,RUTAH !!!!",1,1,1,0,0,0,0,0,1,1,0,0
Kayaknya sdh ngak punya ortu ni bocah... urat malu dah putus.. smoga cepet bertaubat,1,0,1,0,0,0,0,0,1,1,0,0
Cantik sih tapi sayang harga ikan asin lebih mahal daripada dia,1,0,1,0,0,0,0,0,1,1,0,0
Kamu Cantik Seperti Hidung Pesawat,1,0,1,0,0,0,1,0,0,1,0,0
Kalo enggak make up mirip lemari dapur,1,0,1,0,0,0,1,0,0,1,0,0
